Name,Difficulty,Artist,Tags
Rain,10,Artifyber,steam|moderate|finished|camera finished|deco finished|chart finished|heavy vfx|checkpoints|medium
Satellite,9,siqlo,fast|unfinished|pseudos|camera unfinished|deco unfinished|chart finished|light vfx|checkpoints|medium
Skitter Smack,19,1f1n1ty|hallow|Miyolophone|Stardew,fast|finished|camera finished|deco finished|chart finished|heavy vfx|checkpoints|long
Sunlit Waves,9,TAG,fast|unfinished|dlc|3ball|camera unfinished|deco unfinished|chart finished|no vfx|checkpoints|short
The DJ Is Crying For Help,5,AJR,slow|finished|camera finished|deco finished|chart finished|heavy vfx|checkpoints|medium
Touch The Sky,19+,Spehs,fast|unfinished|pseudos|camera unfinished|deco unfinished|chart unfinished|light vfx|checkpoints|short
Turning Out Pt. III,5,AJR,slow|finished|camera finished|deco finished|chart finished|heavy vfx|checkpoints|medium
Unexpected Fairy Overhead,15,Spehs,moderate|unfinished|camera unfinished|deco unfinished|chart finished|no vfx|checkpoints|short
Untitled Track 2,8,Bettelgeusse29,slow|finished|camera finished|deco finished|chart finished|heavy vfx|one-shot|short|seizure
Waltz No.3 in A-flat and B$comma "零时遨游纪实",9,Polymath9,slow|unfinished|dlc|camera unfinished|deco unfinished|chart finished|no vfx|one-shot|medium
Final Hope,10,Riya,steam|moderate|finished|camera finished|deco finished|chart finished|heavy vfx|checkpoints|short
Howling Gale,9,Riya,steam|slow|finished|camera finished|deco finished|chart finished|heavy vfx|checkpoints|short
Deadlocked,9,F-777,steam|fast|finished|camera finished|deco finished|chart finished|heavy vfx|checkpoints|medium
HUE 5HIFT,12,e_ku,steam|moderate|finished|camera finished|deco finished|chart finished|heavy vfx|checkpoints|short
Airborne Robots,8,F-777,steam|fast|finished|camera finished|deco finished|chart finished|heavy vfx|checkpoints|short
